Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2024-06-29,Decathlon Belgium - Rent - AW - April 2024 - Intercept,DMP Easy-active - NL,0.05,28,1,
2024-06-29,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,DMP Easy-active NL,1.03,466,28,
2024-06-29,Decathlon Belgium - Re-Sell - May 2024 - Inspire,DMP Expert-lete NL,1.46,181,,
2024-06-29,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,DMP Value-exerciser - FB - NL,0.12,63,1,
2024-06-29,Decathlon Belgium - Rent - AW - April 2024 - Intercept,DMP Value-exerciser - NL,0.05,16,,
2024-06-29,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,DMP Value-exerciser - Reel - FB - NL,0.36,165,,
2024-06-29,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,DMP Value-exerciser NL,0.21,91,7,
2024-06-29,Decathlon Belgium - ASC - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - NL Campagne,Decathlon Belgium - ASC - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - NL Ensemble de publicités,80.00,21098,801,
2024-06-29,Decathlon Belgium - Advantage+ Shopping Prospecting Campaign - NL Campagne,Decathlon Belgium - Advantage+ Shopping Campaign - NL Ensemble de publicités,18.64,6803,636,
2024-06-29,Decathlon Belgium - Decathlon Shopping - Android NL - App days - download - June 2024 - intercept Campaign,Decathlon Belgium - Decathlon Shopping - Android NL - App days - download - June 2024 - intercept Ad Set,106.21,21284,56,
2024-06-29,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Easy active - Feed - IG - NL,12.90,1209,1,
2024-06-29,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Easy active - Reel - IG - NL,2.14,423,1,
2024-06-29,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Easy-active - FB - NL,59.43,14760,735,
2024-06-29,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Easy-active - Reel - FB - NL,36.69,11969,43,
2024-06-29,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Easy-active NL,63.32,27974,3661,
2024-06-29,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,Easy-active NL,106.97,34239,2427,
2024-06-29,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Expert-lete NL,58.84,24791,2446,
2024-06-29,Decathlon Belgium - Re-Sell - May 2024 - Inspire,Expert-lete NL,22.49,2984,7,
2024-06-29,Decathlon Belgium - Lifestyle - AW - January - 2024 - Intercept,Femmes NL,49.76,20200,1039,
2024-06-29,Decathlon Belgium - Boost post - Golden Ticket - AW - June 2024 - Inspire,Festival interest - IG - FR & NL,48.07,4391,4,
2024-06-29,Decathlon Belgium - Boost post - CS - Rent - tente - festival - AW - June 2024 - Inspire,Festival interest - NL,51.80,20941,279,
2024-06-29,Decathlon Belgium - Boost post - Golden Ticket - AW - June 2024 - Inspire,Festival interest - NL,19.29,5370,155,
2024-06-29,Decathlon Belgium - Boost post - Rent - tente - festival  - IG - AW - June 2024 - Inspire,Festival interest - NL,68.75,19218,55,
2024-06-29,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,Football interest - NL,33.65,15353,507,
2024-06-29,Decathlon Belgium - Lifestyle Gen Z - AW - March 2024 - Intercept,Gen Z - 2024 - NL,4.40,1468,20,
2024-06-29,Decathlon Belgium - Lifestyle - AW - January - 2024 - Intercept,Hommes NL,5.77,2330,119,
2024-06-29,Decathlon Belgium - Rent - AW - April 2024 - Intercept,Interest Festival - NL,12.50,4418,205,
2024-06-29,Decathlon Belgium - (E-)Mobility - AW - February - 2024 - Intercept,"Interest Vélo route, VTT, Vélo ville - NL",2.18,934,68,
2024-06-29,Decathlon Belgium - Rent - AW - April 2024 - Intercept,Interest escapades et longs weekends - NL,3.90,1355,56,
2024-06-29,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,LAL (10%) - DMP - Football - Viewers/Buyers - NL,10.59,4313,203,
2024-06-29,Decathlon Belgium - Lifestyle Gen Z - AW - March 2024 - Intercept,LAL DMP Gen Z - 2024 - NL,0.05,9,,
2024-06-29,Decathlon Belgium - Lifestyle Maillots - June - 2024 - Intercept,Men NL,1.82,795,40,
2024-06-29,Decathlon Belgium - Boost post - CS - Cornhole - AW - June 2024 - Inspire,Outdoor activity interest - NL,11.63,5116,184,
2024-06-29,Decathlon Belgium - Boost post - CS - Kubb - AW - June 2024 - Inspire,Outdoor interest - NL,66.63,32391,586,
2024-06-29,Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,Parents NL,23.90,3729,48,
2024-06-29,Test - Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,Parents NL,25.51,4523,70,
2024-06-29,Decathlon Belgium - Boost post - Asking UGC SUMMER  - IG - AW - June 2024 - Inspire,Sport interest - FR & NL,68.22,52819,29,
2024-06-29,Decathlon Belgium - Lifestyle Maillots - June - 2024 - Intercept,Swimming pools NL,14.90,7013,327,
2024-06-29,Decathlon Belgium - Boost post - CS - Bodyboard - AW - June 2024 - Inspire,Value-exerciser - FB - NL,37.52,12038,75,
2024-06-29,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Value-exerciser - FB - NL,0.84,369,11,
2024-06-29,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Value-exerciser - Feed - IG - NL,17.39,2662,1,
2024-06-29,Decathlon Belgium - Boost post - Bra ajustable  - IG - AW - June 2024 - Inspire,Value-exerciser - IG - NL,46.20,9662,37,
2024-06-29,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Value-exerciser - Reel - FB - NL,5.59,2446,3,
2024-06-29,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Value-exerciser - Reel - IG - NL,0.30,99,,
2024-06-29,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Value-exerciser NL,35.82,16558,1473,
2024-06-29,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,Value-exerciser NL,24.52,11606,676,
2024-06-29,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,Visitors page WOO NL,2.73,706,56,
2024-06-29,Decathlon Belgium - Lifestyle Maillots - June - 2024 - Intercept,Women NL,97.84,32496,3044,
2024-06-28,Decathlon Belgium - Boost post - CS - Kubb - AW - June 2024 - Inspire,Aspire-lete - NL,5.86,3047,45,
2024-06-28,Decathlon Belgium - Boost post - Pochette upcycling  - IG - AW - June 2024 - Inspire,Aspire-lete - NL,3.80,1696,5,
2024-06-28,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Aspire-lete NL,4.46,2621,203,
2024-06-28,Decathlon Belgium - Re-Sell - May 2024 - Inspire,Aspire-lete NL,6.66,1014,3,
2024-06-28,Decathlon Belgium - Lifestyle - AW - January - 2024 - Intercept,Bagagerie NL,12.71,5272,257,
2024-06-28,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,DMP - Football - Viewers/Buyers - NL,5.07,1927,121,
2024-06-28,Decathlon Belgium - Boost post - Pochette upcycling  - IG - AW - June 2024 - Inspire,DMP Affinity - FR & NL,21.39,8088,26,
2024-06-28,Decathlon Belgium - Re-Sell - May 2024 - Inspire,DMP Aspire-lete NL,3.37,505,1,
2024-06-28,Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,DMP Buyers Kids NL,5.10,981,14,
2024-06-28,Test - Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,DMP Buyers Kids NL,6.63,1135,32,
2024-06-28,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,DMP Easy-active - FB - NL,0.46,151,7,
2024-06-28,Decathlon Belgium - Rent - AW - April 2024 - Intercept,DMP Easy-active - NL,0.09,29,2,
2024-06-28,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,DMP Easy-active NL,0.94,355,23,
2024-06-28,Decathlon Belgium - Re-Sell - May 2024 - Inspire,DMP Expert-lete NL,0.83,141,,
2024-06-28,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,DMP Value-exerciser - FB - NL,0.04,37,3,
2024-06-28,Decathlon Belgium - Rent - AW - April 2024 - Intercept,DMP Value-exerciser - NL,0.07,23,2,
2024-06-28,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,DMP Value-exerciser - Reel - FB - NL,0.56,230,1,
2024-06-28,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,DMP Value-exerciser NL,0.05,21,1,
2024-06-28,Decathlon Belgium - ASC - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - NL Campagne,Decathlon Belgium - ASC - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - NL Ensemble de publicités,76.84,23476,927,
2024-06-28,Decathlon Belgium - Advantage+ Shopping Prospecting Campaign - NL Campagne,Decathlon Belgium - Advantage+ Shopping Campaign - NL Ensemble de publicités,19.20,6821,536,
2024-06-28,Decathlon Belgium - Decathlon Shopping - Android NL - App days - download - June 2024 - intercept Campaign,Decathlon Belgium - Decathlon Shopping - Android NL - App days - download - June 2024 - intercept Ad Set,92.10,18260,51,
2024-06-28,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Easy active - Feed - IG - NL,10.05,816,3,
2024-06-28,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Easy active - Reel - IG - NL,3.01,490,4,
2024-06-28,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Easy-active - FB - NL,36.73,7023,357,
2024-06-28,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Easy-active - Reel - FB - NL,31.10,10162,60,
2024-06-28,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Easy-active NL,67.22,28940,3597,
2024-06-28,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,Easy-active NL,92.89,29439,1865,
2024-06-28,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Expert-lete NL,58.86,25357,2155,
2024-06-28,Decathlon Belgium - Re-Sell - May 2024 - Inspire,Expert-lete NL,17.11,2152,6,
2024-06-28,Decathlon Belgium - Lifestyle - AW - January - 2024 - Intercept,Femmes NL,56.58,22544,1074,
2024-06-28,Decathlon Belgium - Boost post - Golden Ticket - AW - June 2024 - Inspire,Festival interest - IG - FR & NL,127.46,12698,11,
2024-06-28,Decathlon Belgium - Boost post - CS - Rent - tente - festival - AW - June 2024 - Inspire,Festival interest - NL,47.88,21806,294,
2024-06-28,Decathlon Belgium - Boost post - Golden Ticket - AW - June 2024 - Inspire,Festival interest - NL,57.33,13762,397,
2024-06-28,Decathlon Belgium - Boost post - Rent - tente - festival  - IG - AW - June 2024 - Inspire,Festival interest - NL,68.16,19445,36,
2024-06-28,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,Football interest - NL,34.84,15285,606,
2024-06-28,Decathlon Belgium - Lifestyle Gen Z - AW - March 2024 - Intercept,Gen Z - 2024 - NL,4.00,1464,28,
2024-06-28,Decathlon Belgium - Lifestyle - AW - January - 2024 - Intercept,Hommes NL,5.16,1981,100,
2024-06-28,Decathlon Belgium - Rent - AW - April 2024 - Intercept,Interest Festival - NL,10.71,3713,139,
2024-06-28,Decathlon Belgium - (E-)Mobility - AW - February - 2024 - Intercept,"Interest Vélo route, VTT, Vélo ville - NL",2.15,893,40,
2024-06-28,Decathlon Belgium - Rent - AW - April 2024 - Intercept,Interest escapades et longs weekends - NL,1.89,651,20,
2024-06-28,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,LAL (10%) - DMP - Football - Viewers/Buyers - NL,10.02,3941,203,
2024-06-28,Decathlon Belgium - Lifestyle Gen Z - AW - March 2024 - Intercept,LAL DMP Gen Z - 2024 - NL,0.19,56,2,
2024-06-28,Decathlon Belgium - Lifestyle Maillots - June - 2024 - Intercept,Men NL,1.52,641,50,
2024-06-28,Decathlon Belgium - Boost post - CS - Cornhole - AW - June 2024 - Inspire,Outdoor activity interest - NL,2.30,761,34,
2024-06-28,Decathlon Belgium - Boost post - CS - Kubb - AW - June 2024 - Inspire,Outdoor interest - NL,56.57,28697,554,
2024-06-28,Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,Parents NL,22.61,3904,59,
2024-06-28,Test - Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,Parents NL,23.71,4129,60,
2024-06-28,Decathlon Belgium - Boost post - Asking UGC SUMMER  - IG - AW - June 2024 - Inspire,Sport interest - FR & NL,27.04,23444,11,
2024-06-28,Decathlon Belgium - Lifestyle Maillots - June - 2024 - Intercept,Swimming pools NL,8.48,3788,164,
2024-06-28,Decathlon Belgium - Boost post - CS - Bodyboard - AW - June 2024 - Inspire,Value-exerciser - FB - NL,36.77,9583,90,
2024-06-28,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Value-exerciser - FB - NL,0.53,162,4,
2024-06-28,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Value-exerciser - Feed - IG - NL,25.99,3904,2,
2024-06-28,Decathlon Belgium - Boost post - Bra ajustable  - IG - AW - June 2024 - Inspire,Value-exerciser - IG - NL,50.04,10260,30,
2024-06-28,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Value-exerciser - Reel - FB - NL,9.85,4027,6,
2024-06-28,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Value-exerciser - Reel - IG - NL,1.20,383,,
2024-06-28,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Value-exerciser NL,34.10,15499,1499,
2024-06-28,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,Value-exerciser NL,17.27,7810,387,
2024-06-28,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,Visitors page WOO NL,3.38,836,50,
2024-06-28,Decathlon Belgium - Lifestyle Maillots - June - 2024 - Intercept,Women NL,96.09,31077,3008,
2024-06-28,Decathlon Belgium - Boost post - international yoga day - FB & IG - AW - June 2024 - Inspire,Yoga interest - FB - NL,45.59,16377,705,
2024-06-27,Decathlon Belgium - Boost post - CS - Kubb - AW - June 2024 - Inspire,Aspire-lete - NL,3.39,1425,31,
2024-06-27,Decathlon Belgium - Boost post - Pochette upcycling  - IG - AW - June 2024 - Inspire,Aspire-lete - NL,6.80,3271,4,
2024-06-27,Decathlon Belgium - Boost post - Summer is coming - IG - AW - June 2024 - Inspire,Aspire-lete - NL,5.61,782,1,
2024-06-27,Decathlon Belgium - Boost post - CS - Caravane pliante - AW - June 2024 - Inspire,Aspire-lete NL,1.35,464,6,
2024-06-27,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,Aspire-lete NL,4.21,2439,195,
2024-06-27,Decathlon Belgium - Re-Sell - May 2024 - Inspire,Aspire-lete NL,7.48,1074,5,
2024-06-27,Decathlon Belgium - Lifestyle - AW - January - 2024 - Intercept,Bagagerie NL,8.45,3789,171,
2024-06-27,Decathlon Belgium - Boost post - CS - Caravane pliante - AW - June 2024 - Inspire,Camping & outdoor interest - NL,16.42,5009,136,
2024-06-27,Decathlon Belgium - Boost post - Summer is coming - IG - AW - June 2024 - Inspire,Camping & outdoor interest - NL,17.52,2532,9,
2024-06-27,Decathlon Belgium - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - Intercept,DMP - Football - Viewers/Buyers - NL,6.63,2833,178,
2024-06-27,Decathlon Belgium - Boost post - Pochette upcycling  - IG - AW - June 2024 - Inspire,DMP Affinity - FR & NL,28.68,10762,37,
2024-06-27,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,DMP Aspire-lete NL,1.12,487,65,
2024-06-27,Decathlon Belgium - Re-Sell - May 2024 - Inspire,DMP Aspire-lete NL,3.34,491,2,
2024-06-27,Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,DMP Buyers Kids NL,4.75,959,17,
2024-06-27,Test - Decathlon Belgium - Buyback Kids Bike - AW - June - 2024 - Intercept,DMP Buyers Kids NL,5.93,1080,22,
2024-06-27,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,DMP Easy-active - FB - NL,0.49,170,11,
2024-06-27,Decathlon Belgium - Rent - AW - April 2024 - Intercept,DMP Easy-active - NL,0.03,23,,
2024-06-27,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,DMP Easy-active NL,0.69,320,33,
2024-06-27,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,DMP Easy-active NL,0.54,226,10,
2024-06-27,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,DMP Expert-lete NL,0.61,228,16,
2024-06-27,Decathlon Belgium - Re-Sell - May 2024 - Inspire,DMP Expert-lete NL,1.38,143,,
2024-06-27,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,DMP Value-exerciser - FB - NL,0.04,20,,
2024-06-27,Decathlon Belgium - Rent - AW - April 2024 - Intercept,DMP Value-exerciser - NL,0.02,10,,
2024-06-27,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,DMP Value-exerciser - Reel - FB - NL,0.81,364,,
2024-06-27,Decathlon Belgium - DPA prospecting NL - Janvier 2023 - intercept,DMP Value-exerciser NL,0.39,150,19,
2024-06-27,Decathlon Belgium - Summer - OPECO - June 2024 - Intercept,DMP Value-exerciser NL,0.03,10,,
2024-06-27,Decathlon Belgium - ASC - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - NL Campagne,Decathlon Belgium - ASC - Adidas - Maillot Diable Rouge EURO 2024 - June 2024 - NL Ensemble de publicités,78.60,23614,1242,
2024-06-27,Decathlon Belgium - Advantage+ Shopping Prospecting Campaign - NL Campagne,Decathlon Belgium - Advantage+ Shopping Campaign - NL Ensemble de publicités,19.51,8219,628,
2024-06-27,Decathlon Belgium - Decathlon Shopping - Android NL - App days - download - June 2024 - intercept Campaign,Decathlon Belgium - Decathlon Shopping - Android NL - App days - download - June 2024 - intercept Ad Set,86.83,15770,48,
2024-06-27,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Easy active - Feed - IG - NL,8.16,709,,
2024-06-27,Decathlon Belgium - Boost post - Summer - Intro - Reach - Opeco - June 2024 - Inspire,Easy active - Reel - IG - NL,2.92,451,1,
2024-06-27,Decathlon Belgium - Boost post - Summer - Eng - Opeco - June 2024 - Intercept,Easy-active - FB - NL,38.25,5916,348,
